"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","373T-10","","",""
"Ônibus","3741-10","","",""
"Ônibus","3742-10","","",""
"Ônibus","3743-10","","",""
"Ônibus","3745-10","","",""
"Ônibus","3746-10","","",""
"Ônibus","3746-31","","",""
"Ônibus","3749-10","","",""
"Ônibus","374M-10","","",""
"Ônibus","374V-10","","",""
"Ônibus","3751-10","","",""
"Ônibus","3751-21","","",""
"Ônibus","3754-10","","",""
"Ônibus","3756-10","","",""
"Ônibus","3756-21","","",""
"Ônibus","375V-10","","",""
"Ônibus","3761-10","","",""
"Ônibus","3762-10","","",""
"Ônibus","3763-10","","",""
"Ônibus","3766-10","","",""
"Ônibus","3768-10","","",""
"Ônibus","3773-10","","",""
"Ônibus","3778-10","","",""
"Ônibus","3785-10","","",""
"Ônibus","3787-10","","",""
"Ônibus","3789-10","","",""
"Ônibus","3791-10","","",""
"Ônibus","3793-10","","",""
"Ônibus","3795-10","","",""
"Ônibus","3796-10","","",""
"Ônibus","3901-10","","",""
"Ônibus","3902-10","","",""
"Ônibus","3903-10","","",""
"Ônibus","390E-10","","",""
"Ônibus","393C-10","","",""
"Ônibus","393H-10","","",""
"Ônibus","4001-10","","",""
"Ônibus","4002-10","","",""
"Ônibus","4002-51","","",""
"Ônibus","4003-10","","",""
"Ônibus","4004-10","","",""
"Ônibus","4005-10","","",""
"Ônibus","4006-10","","",""
"Ônibus","4007-10","","",""
"Ônibus","4008-10","","",""
"Ônibus","4010-10","","",""
"Ônibus","4011-10","","",""
"Ônibus","4012-10","","",""
"Ônibus","4013-10","","",""
"Ônibus","4014-10","","",""
"Ônibus","4015-10","","",""
"Ônibus","4016-10","","",""
"Ônibus","4017-10","","",""
"Ônibus","4018-10","","",""
"Ônibus","4024-10","","",""
"Ônibus","4025-10","","",""
"Ônibus","4027-10","","",""
"Ônibus","4028-10","","",""
"Ônibus","4029-10","","",""
"Ônibus","4030-10","","",""
"Ônibus","4031-10","","",""
"Ônibus","4032-10","","",""
"Ônibus","4033-10","","",""
"Ônibus","403A-10","","",""
"Ônibus","4051-10","","",""
"Ônibus","4052-10","","",""
"Ônibus","4053-10","","",""
"Ônibus","4054-10","","",""
"Ônibus","4056-10","","",""
"Ônibus","407A-10","","",""
"Ônibus","407C-10","","",""
"Ônibus","407E-10","","",""
"Ônibus","407F-10","","",""
"Ônibus","407G-10","","",""
"Ônibus","407H-10","","",""
"Ônibus","407I-10","","",""
"Ônibus","407J-10","","",""
"Ônibus","407K-10","","",""
"Ônibus","407L-10","","",""
"Ônibus","407M-10","","",""
"Ônibus","407N-10","","",""
"Ônibus","407N-21","","",""
"Ônibus","407P-10","","",""
"Ônibus","407R-10","","",""
"Ônibus","407T-10","","",""
"Ônibus","407W-10","","",""
"Ônibus","407Y-10","","",""
"Ônibus","4085-10","","",""
"Ônibus","4086-10","","",""
"Ônibus","408A-10","","",""
"Ônibus","4092-10","","",""
"Ônibus","4111-10","","",""
"Ônibus","4112-10","","",""
"Ônibus","4113-10","","",""
"Ônibus","4114-10","","",""
"Ônibus","4114-31","","",""
"Ônibus","4115-10","","",""
"Ônibus","414P-10","","",""
"Ônibus","4210-10","","",""
"Ônibus","4221-10","","",""
"Ônibus","4222-10","","",""
"Ônibus","4222-51","","",""
"Ônibus","425E-10","","",""
"Ônibus","4284-10","","",""
"Ônibus","4286-10","","",""
"Ônibus","4288-10","","",""
"Ônibus","4310-10","","",""
"Ônibus","4311-10","","",""
"Ônibus","4312-10","","",""
"Ônibus","4313-10","","",""
"Ônibus","4314-10","","",""
"Ônibus","4315-10","","",""
"Ônibus","4491-10","","",""
"Ônibus","4706-10","","",""
"Ônibus","4708-10","","",""
"Ônibus","4709-10","","",""
"Ônibus","4716-10","","",""
"Ônibus","4717-10","","",""
"Ônibus","4718-10","","",""
"Ônibus","4721-10","","",""
"Ônibus","4723-10","","",""
"Ônibus","4724-10","","",""
"Ônibus","4725-10","","",""
"Ônibus","4726-10","","",""
"Ônibus","4726-31","","",""
"Ônibus","4727-10","","",""
"Ônibus","4729-10","","",""
"Ônibus","4732-10","","",""
"Ônibus","4732-31","","",""
"Ônibus","4734-10","","",""
"Ônibus","4734-21","","",""
"Ônibus","4735-10","","",""
"Ônibus","4742-10","","",""
"Ônibus","475M-10","","",""
"Ônibus","475R-10","","",""
"Ônibus","476A-10","","",""
"Ônibus","476G-10","","",""
"Ônibus","476G-41","","",""
"Ônibus","476L-10","","",""
"Ônibus","477A-10","","",""
"Ônibus","477P-10","","",""
"Ônibus","477U-10","","",""
"Ônibus","478P-10","","",""
"Ônibus","5010-10","","",""
"Ônibus","5011-10","","",""
"Ônibus","5012-10","","",""
"Ônibus","5012-21","","",""
"Ônibus","5013-10","","",""
"Ônibus","5013-31","","",""
"Ônibus","5014-10","","",""
"Ônibus","5015-10","","",""
"Ônibus","5018-10","","",""
"Ônibus","5018-31","","",""
"Ônibus","5020-10","","",""
"Ônibus","5021-10","","",""
"Ônibus","5022-10","","",""
"Ônibus","5024-10","","",""
"Ônibus","5024-31","","",""
"Ônibus","5026-10","","",""
"Ônibus","5028-10","","",""
"Ônibus","5029-10","","",""
"Ônibus","502J-10","","",""
"Ônibus","502J-21","","",""
"Ônibus","502J-22","","",""
"Ônibus","5030-10","","",""
"Ônibus","5031-10","","",""
"Ônibus","5031-21","","",""
"Ônibus","5032-10","","",""
"Ônibus","5033-10","","",""
"Ônibus","5034-10","","",""
"Ônibus","5034-31","","",""
"Ônibus","5035-10","","",""
"Ônibus","5036-10","","",""
"Ônibus","5038-10","","",""
"Ônibus","507T-10","","",""
"Ônibus","508L-10","","",""
